izo;first_pick;first_accept_rate
13757.0;106;0.6509433962264151
53155.0;150;0.94
53163.0;277;0.8880866425992779
55069.0;118;0.9745762711864406
55107.0;209;0.7177033492822966
64556.0;13;0.6153846153846154
68772.0;157;0.5859872611464968
68781.0;134;0.4925373134328358
68799.0;140;0.5571428571428572
68802.0;101;0.46534653465346537
68837.0;124;0.5080645161290323
68845.0;181;0.4143646408839779
68853.0;213;0.5492957746478874
68861.0;102;0.4411764705882353
68870.0;191;0.44502617801047123
68888.0;124;0.5645161290322581
68926.0;207;0.6570048309178744
68934.0;139;0.35251798561151076
68942.0;109;0.6055045871559633
68951.0;130;0.5384615384615384
68969.0;49;0.9591836734693877
69019.0;185;0.6108108108108108
69027.0;132;0.7954545454545454
69043.0;75;0.9066666666666666
69078.0;75;0.72
69086.0;122;0.6311475409836066
69108.0;153;0.7450980392156863
69124.0;75;0.8133333333333334
69132.0;106;0.5471698113207547
69141.0;151;0.543046357615894
69159.0;71;0.9295774647887324
69167.0;74;0.972972972972973
69175.0;109;0.8165137614678899
69205.0;46;0.6956521739130435
69221.0;45;1.0
69248.0;115;0.6
69264.0;37;1.0
69272.0;67;0.7014925373134329
69540.0;53;0.8490566037735849
69574.0;82;0.7804878048780488
69647.0;139;0.7482014388489209
72753.0;134;0.9104477611940298
72818.0;89;0.5168539325842697
72869.0;199;0.9447236180904522
72966.0;47;0.9787234042553191
73041.0;82;1.0
73059.0;159;0.8238993710691824
73130.0;46;0.9130434782608695
76953.0;105;0.7047619047619048
76970.0;177;0.5141242937853108
76996.0;150;0.6733333333333333
77003.0;43;0.9534883720930233
77119.0;58;0.9827586206896551
77127.0;298;0.5838926174496645
77135.0;119;0.6890756302521008
77143.0;176;0.6931818181818182
77224.0;169;0.47337278106508873
77232.0;125;0.896
77305.0;44;1.0
77313.0;194;0.9587628865979382
77348.0;73;0.821917808219178
81825.0;189;0.6084656084656085
81833.0;92;0.9239130434782609
81841.0;56;0.8214285714285714
81850.0;31;0.6451612903225806
81868.0;304;0.3684210526315789
81876.0;145;0.5655172413793104
81884.0;69;0.7681159420289855
81922.0;258;0.7441860465116279
81931.0;208;0.6538461538461539
81973.0;41;0.6097560975609756
81990.0;121;0.5371900826446281
82015.0;277;0.7653429602888087
82091.0;136;1.0
82104.0;75;1.0
82121.0;54;0.8888888888888888
82139.0;116;0.7327586206896551
82147.0;317;0.6908517350157729
82198.0;86;0.8488372093023255
82201.0;347;0.8674351585014409
82244.0;111;0.5855855855855856
82252.0;213;0.38967136150234744
82287.0;226;0.5575221238938053
82457.0;80;0.9125
82627.0;220;0.7681818181818182
87131.0;160;0.5375
87173.0;62;0.9516129032258065
87211.0;181;0.4419889502762431
87297.0;114;0.8596491228070176
87343.0;54;0.7037037037037037
87408.0;95;0.7684210526315789
87513.0;95;0.7368421052631579
87629.0;41;0.926829268292683
87653.0;232;0.7758620689655172
87670.0;119;0.5798319327731093
87751.0;183;0.8907103825136612
87840.0;47;1.0
87858.0;38;0.9736842105263158
87939.0;79;0.8860759493670886
87998.0;34;0.9705882352941176
99783.0;146;0.815068493150685
100340.0;85;0.8823529411764706
