RED_IZO;pocet studentu;skolni rok;pocet pc;pocet notebooku;wifi;pocet uceben
665000308;648;2024/25;0;45;1;30
600001636;250;2024/25;21;44;1;14
600037975;81;2024/25;0;0;1;3
600056660;24;2024/25;0;0;1;1
600021866;62;2024/25;2;30;1;12
600021921;36;2024/25;1;12;1;6
600107221;69;2024/25;0;8;1;3
600064603;439;2024/25;30;84;1;26
600106489;68;2024/25;0;0;1;3
600107043;52;2024/25;0;1;1;3
691007420;81;2024/25;0;33;1;4
691007705;19;2024/25;0;0;0;1
691010382;15;2024/25;0;0;0;1
600131831;78;2024/25;42;26;1;11
600148033;51;2024/25;16;24;1;7
691013161;36;2024/25;0;2;1;2
691013942;14;2024/25;1;3;1;2
600112446;140;2024/25;17;48;1;11
600021823;55;2024/25;11;37;1;8
600107442;167;2024/25;0;2;1;7
600107361;75;2024/25;1;11;1;3
600061370;873;2024/25;71;143;1;49
600148271;160;2024/25;24;30;1;18
600011828;1100;2024/25;461;40;1;107
600107230;76;2024/25;0;0;1;3
600148301;369;2024/25;24;89;1;27
600052575;215;2024/25;0;50;1;11
600138259;364;2024/25;49;40;1;27
650042301;178;2024/25;27;21;1;13
600092470;377;2024/25;30;80;1;19
691004862;154;2024/25;0;50;1;9
600112217;45;2024/25;6;32;1;7
600045641;235;2024/25;16;45;1;17
600045315;135;2024/25;15;35;1;7
600008347;273;2024/25;44;95;1;15
600112594;86;2024/25;16;0;1;6
600076211;546;2024/25;28;181;1;51
650045475;70;2024/25;8;11;1;4
600030971;28;2024/25;8;3;1;6
600029867;10;2024/25;8;2;1;3
600026621;121;2024/25;16;66;1;47
600171426;269;2024/25;33;0;1;36
600027872;19;2024/25;15;5;1;6
600027970;40;2024/25;8;0;0;6
600028852;25;2024/25;10;2;1;6
600044599;108;2024/25;21;10;1;6
600029905;20;2024/25;6;0;0;4
600030636;22;2024/25;8;29;1;6
600030989;57;2024/25;12;3;1;16
600029255;33;2024/25;8;10;1;5
600029778;24;2024/25;8;1;1;8
600045366;614;2024/25;58;46;1;31
600131602;112;2024/25;0;0;1;5
600082792;44;2024/25;0;39;1;4
600120571;376;2024/25;3;126;1;22
600120589;307;2024/25;36;104;1;21
600104575;77;2024/25;9;6;1;6
600017974;319;2024/25;97;33;1;24
600119637;105;2024/25;20;10;1;9
600025811;136;2024/25;20;20;1;24
600061647;41;2024/25;0;2;1;3
600008410;343;2024/25;53;25;1;23
600043151;594;2024/25;18;164;1;36
600063011;270;2024/25;45;35;1;20
600005160;189;2024/25;18;20;1;12
600020801;117;2024/25;28;27;1;16
600016374;353;2024/25;188;0;1;22
600014771;249;2024/25;34;37;1;14
600022099;34;2024/25;7;20;1;8
600027058;99;2024/25;20;55;1;21
600005518;548;2024/25;44;32;1;34
600000346;87;2024/25;20;20;1;7
650016467;125;2024/25;0;20;1;7
600064751;92;2024/25;0;35;1;5
600062813;21;2024/25;1;0;1;2
600037452;1022;2024/25;130;270;1;52
600047831;78;2024/25;16;40;1;11
600005950;173;2024/25;0;24;1;12
600040593;1119;2024/25;58;148;1;64
600078531;252;2024/25;20;40;1;27
600139638;22;2024/25;0;1;0;2
600017401;357;2024/25;64;0;1;13
691018014;0;2024/25;0;0;1;1
600055434;149;2024/25;0;0;1;6
600171795;281;2024/25;27;0;1;10
600055612;100;2024/25;0;34;1;4
616500734;14;2024/25;0;0;1;1
691013489;152;2024/25;0;22;1;8
600055825;165;2024/25;0;90;1;12
691002975;90;2024/25;0;10;1;4
600069419;207;2024/25;0;23;1;10
600069311;98;2024/25;5;8;1;5
600137970;54;2024/25;9;26;1;4
600120511;317;2024/25;28;24;1;20
600022251;45;2024/25;7;21;1;5
691014248;98;2024/25;0;30;1;7
691005478;20;2024/25;0;1;1;1
600139212;34;2024/25;0;0;0;2
691013586;12;2024/25;6;0;1;2
600120546;179;2024/25;24;20;1;14
600120562;316;2024/25;30;66;1;22
600120619;418;2024/25;44;51;1;28
600109691;117;2024/25;0;0;1;5
600145204;772;2024/25;60;38;1;46
600063755;401;2024/25;43;121;1;29
600023583;82;2024/25;45;52;1;11
600001075;13;2024/25;1;2;1;1
691012458;769;2024/25;134;52;1;43
600171116;631;2024/25;80;125;1;37
691013101;68;2024/25;0;0;1;5
600107370;53;2024/25;0;0;1;2
600055451;46;2024/25;0;2;1;2
600069494;613;2024/25;73;60;1;34
600105202;75;2024/25;0;0;1;6
600055426;46;2024/25;0;0;1;2
600026230;212;2024/25;38;93;1;29
600036090;170;2024/25;0;8;1;7
600055744;189;2024/25;38;20;1;15
600055621;84;2024/25;0;10;1;4
600016641;463;2024/25;132;35;1;31
600066347;430;2024/25;49;138;1;25
600040461;337;2024/25;25;17;1;18
600112195;34;2024/25;1;24;1;4
600088138;58;2024/25;2;2;1;4
600061761;30;2024/25;1;2;1;3
600148211;37;2024/25;0;22;1;5
600171876;130;2024/25;14;57;1;18
600061396;238;2024/25;46;30;1;23
600120449;144;2024/25;31;14;1;18
600120465;57;2024/25;26;12;1;2
600120490;498;2024/25;1;80;1;34
600111113;678;2024/25;69;72;1;33
600115500;759;2024/25;72;142;1;47
600007880;438;2024/25;40;192;1;20
600137996;94;2024/25;25;37;1;7
600014894;1083;2024/25;235;66;1;65
600020029;424;2024/25;37;63;1;21
650035828;91;2024/25;0;13;1;8
600064271;100;2024/25;0;0;1;4
600011232;140;2024/25;35;38;1;9
600076245;488;2024/25;28;142;1;38
600124576;36;2024/25;10;51;1;4
691016763;20;2024/25;0;0;1;1
600059375;451;2024/25;27;34;1;32
600145042;98;2024/25;20;41;1;6
600059677;56;2024/25;0;0;1;3
600076296;335;2024/25;0;165;1;34
600011372;246;2024/25;17;15;1;18
691008574;59;2024/25;0;32;1;5
600050301;66;2024/25;0;0;1;3
600007022;634;2024/25;112;43;1;48
600098559;48;2024/25;0;0;1;2
600060284;39;2024/25;0;11;1;6
650025610;236;2024/25;42;25;1;15
600171663;75;2024/25;0;11;1;14
600096351;158;2024/25;28;17;1;8
600020428;1950;2024/25;186;115;1;72
600099474;208;2024/25;1;4;1;16
600098885;103;2024/25;0;1;1;5
600098711;24;2024/25;0;0;0;1
600120066;26;2024/25;0;10;1;3
600006808;480;2024/25;111;75;1;25
600021459;17;2024/25;18;19;1;5
600120414;383;2024/25;55;68;1;30
600026744;44;2024/25;15;39;1;7
691008540;30;2024/25;0;0;1;2
600098648;50;2024/25;0;6;1;3
600098931;59;2024/25;0;3;1;3
600083021;53;2024/25;4;34;1;6
600120422;319;2024/25;56;66;1;16
600047776;81;2024/25;8;13;1;5
650077342;231;2024/25;24;68;1;17
600120457;220;2024/25;20;54;1;20
663000271;175;2024/25;0;7;1;7
600057461;466;2024/25;30;30;1;27
600046826;240;2024/25;0;10;1;10
610100645;1244;2024/25;438;68;1;64
600076016;458;2024/25;43;27;1;31
600055558;21;2024/25;0;0;1;1
600076059;246;2024/25;48;82;1;16
600055299;20;2024/25;0;0;0;1
691014213;16;2024/25;0;0;1;1
600047334;523;2024/25;40;64;1;30
600098915;45;2024/25;0;3;1;2
600057372;670;2024/25;35;49;1;35
600028712;26;2024/25;12;6;1;7
600090680;55;2024/25;4;9;1;4
600024831;51;2024/25;11;25;1;15
600104231;689;2024/25;58;173;1;47
600104036;80;2024/25;0;4;1;5
600098877;54;2024/25;0;0;1;3
600006832;932;2024/25;148;0;1;35
600117723;22;2024/25;0;0;1;1
600144101;106;2024/25;0;15;1;7
600144640;55;2024/25;2;3;1;3
691009813;40;2024/25;0;0;1;2
600142736;94;2024/25;20;25;1;7
600076130;87;2024/25;0;15;1;6
650055900;28;2024/25;0;27;1;6
650050312;48;2024/25;0;18;1;3
600078451;180;2024/25;28;6;1;15
600019136;8;2024/25;0;4;1;1
600050424;18;2024/25;0;10;1;1
600111083;385;2024/25;28;47;1;29
600055698;51;2024/25;8;11;1;3
600069320;92;2024/25;2;6;1;5
600000770;18;2024/25;0;2;1;2
600064620;867;2024/25;40;108;1;46
600123995;305;2024/25;28;31;1;30
600123758;12;2024/25;0;0;1;1
668001071;346;2024/25;9;20;1;14
600055655;44;2024/25;7;29;1;3
600082962;310;2024/25;45;79;1;19
600055604;17;2024/25;0;0;0;1
614201136;19;2024/25;0;10;1;1
600055361;21;2024/25;0;0;1;1
600055663;46;2024/25;0;30;1;4
600130401;129;2024/25;2;22;1;7
600072843;320;2024/25;39;135;1;32
691009554;15;2024/25;0;0;1;1
600024881;27;2024/25;10;21;1;3
663000211;122;2024/25;0;5;1;5
662000510;47;2024/25;0;0;0;2
600114511;424;2024/25;15;75;1;22
600055248;20;2024/25;0;8;1;2
600120406;579;2024/25;55;78;1;38
651023599;329;2024/25;49;12;1;37
600170306;684;2024/25;155;55;1;6
650045424;167;2024/25;30;25;1;12
691006849;15;2024/25;0;1;1;2
691003769;453;2024/25;85;5;1;30
600147479;43;2024/25;0;2;1;2
600066355;428;2024/25;25;131;1;26
600117651;111;2024/25;0;9;1;5
600099601;64;2024/25;1;3;1;6
600117464;147;2024/25;0;7;1;6
600109321;97;2024/25;0;1;1;6
667101411;83;2024/25;0;4;1;4
600055302;28;2024/25;0;0;1;2
600078329;63;2024/25;16;18;1;6
667000089;147;2024/25;0;11;1;7
600117685;19;2024/25;0;0;1;1
600137767;54;2024/25;0;14;1;3
600078311;92;2024/25;16;30;1;6
600054071;173;2024/25;4;10;1;8
668000791;85;2024/25;0;8;1;4
672000423;138;2024/25;0;20;1;6
600013855;800;2024/25;101;54;1;46
691003912;42;2024/25;0;0;1;2
691007098;20;2024/25;0;0;1;1
650041674;46;2024/25;2;6;1;5
600055221;57;2024/25;0;2;1;3
691005761;31;2024/25;0;0;1;2
600004571;54;2024/25;4;0;1;6
600055388;19;2024/25;0;10;1;1
691017930;27;2024/25;0;15;1;4
691016976;51;2024/25;0;15;1;3
600055396;21;2024/25;0;11;1;1
600055540;25;2024/25;0;0;1;1
691015741;32;2024/25;0;0;1;1
600043550;92;2024/25;0;4;1;4
600055418;22;2024/25;0;2;1;1
650041038;128;2024/25;0;24;1;15
600053857;24;2024/25;0;20;1;1
600090230;630;2024/25;53;79;1;25
600044823;95;2024/25;0;0;1;4
600055752;140;2024/25;18;54;1;13
600107396;70;2024/25;0;0;1;3
600076431;689;2024/25;48;144;1;42
600111814;57;2024/25;10;12;1;5
650069722;594;2024/25;97;53;1;26
600052133;337;2024/25;0;55;1;15
600040623;715;2024/25;67;159;1;41
600120350;692;2024/25;124;145;1;46
600170012;505;2024/25;106;31;1;27
600052249;747;2024/25;58;57;1;35
650050801;105;2024/25;7;11;1;10
600044467;229;2024/25;24;45;1;10
600057062;27;2024/25;0;0;1;1
600000966;70;2024/25;0;7;1;3
600120384;857;2024/25;50;50;1;38
600129594;39;2024/25;0;1;1;2
600061779;21;2024/25;0;0;1;1
600090060;92;2024/25;4;0;1;4
600083420;413;2024/25;0;15;1;20
600057313;18;2024/25;0;2;1;1
600083560;22;2024/25;0;0;1;1
600026507;135;2024/25;17;52;1;22
600110915;260;2024/25;18;16;1;14
600100511;246;2024/25;24;76;1;23
600146758;312;2024/25;28;60;1;25
600133613;65;2024/25;4;42;1;5
600057186;124;2024/25;0;0;0;5
600045463;355;2024/25;24;50;1;18
600138283;360;2024/25;30;55;1;27
600117278;57;2024/25;3;16;1;3
600056848;19;2024/25;0;0;1;2
