Hlavní město Praha, 1102063, 3916,85743,187884, 361420	24 906	371 351	75 961	269 964	25 426	66 843
Středočeský kraj	1 162 092	6 682	141 349	354 022	378 109	20 836	196 805	40 914	146 716	9 175	64 289
Jihočeský kraj	530 545	3 052	67 839	177 523	164 649	8 322	79 899	18 048	58 572	3 279	29 261
Plzeňský kraj	490 442	3 037	64 163	162 010	151 830	7 896	70 888	16 566	51 416	2 906	30 618
Karlovarský kraj	236 517	2 779	39 915	81 345	66 737	3 062	22 803	5 630	16 592	581	19 876
Ústecký kraj	662 139	7 794	110 309	223 213	189 331	8 024	68 782	17 194	49 683	1 905	54 686
Liberecký kraj	363 889	2 817	49 895	124 205	108 828	4 975	48 054	10 717	35 516	1 821	25 115
Královéhradecký kraj	453 626	2 711	57 514	154 031	143 910	7 113	63 077	13 539	46 856	2 682	25 270
Pardubický kraj	427 281	2 656	53 808	149 516	132 997	7 375	58 987	13 083	43 597	2 307	21 942
Kraj Vysočina	418 463	2 045	51 793	153 400	130 037	6 922	56 276	13 307	41 534	1 435	17 990
Jihomoravský kraj	1 003 977	4 947	121 166	301 905	304 647	15 190	207 890	40 112	154 028	13 750	48 232
Olomoucký kraj	521 624	3 633	66 923	174 363	160 512	7 209	81 795	16 723	61 079	3 993	27 189
Zlínský kraj	477 032	2 524	61 957	164 718	146 065	5 855	74 338	15 935	56 097	2 306	21 575
Moravskoslezský kraj	982 717	7 507	135 486	328 848	290 019	10 903	151 462	33 260	112 682	5 520	58 492
